name,description,img,url,children,parent
Ноутбуки и компьютеры,,,,[],
Ноутбуки,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Компьютеры,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Мониторы и аксессуары,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Мониторы,,,,[],Мониторы и аксессуары
Подставки под монитор,,,,[],Мониторы и аксессуары
Блоки питания для монитора,,,,[],Мониторы и аксессуары
Комплектующие,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Видеокарты,,,,[],Комплектующие
Блоки питания ПК,,,,[],Комплектующие
SSD диски,,,,[],Комплектующие
Корпусы для ПК,,,,[],Комплектующие
Процессоры,,,,[],Комплектующие
Материнские платы,,,,[],Комплектующие
Кулеры к процессорам,,,,[],Комплектующие
Кабели питания,,,,[],Комплектующие
Оптические приводы DVD±RW,,,,[],Комплектующие
Райзеры,,,,[],Комплектующие
Контроллеры для ПК,,,,[],Комплектующие
Кабели для передачи данных,,,,[],Комплектующие
Процессоры для серверов,,,,[],Комплектующие
Корпусы для сервера,,,,[],Комплектующие
Звуковые платы,,,,[],Комплектующие
Вентиляторы к корпусам,,,,[],Комплектующие
Серверные МП,,,,[],Комплектующие
Оперативная память,,,,[],Комплектующие
Жесткие диски (HDD),,,,[],Комплектующие
Термопаста,,,,[],Комплектующие
Термопрокладки,,,,[],Комплектующие
Радиаторы охлаждения,,,,[],Комплектующие
Услуги для ПК,,,,[],Комплектующие
Крепления VESA для корпусов,,,,[],Комплектующие
Оптические приводы Blu-Ray,,,,[],Комплектующие
Манипуляторы,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Мышки,,,,[],Манипуляторы
Клавиатуры,,,,[],Манипуляторы
Комплекты клавиатуры и мыши,,,,[],Манипуляторы
Графические планшеты,,,,[],Манипуляторы
Планшет-мониторы,,,,[],Манипуляторы
Наклейки на клавиатуру,,,,[],Манипуляторы
Коврики и поверхности,,,,[],Манипуляторы
Перья для планшетов,,,,[],Манипуляторы
Трекболы,,,,[],Манипуляторы
Электропитание,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Аккумуляторы к ИБП,,,,[],Электропитание
ИБП UPS,,,,[],Электропитание
Зарядки для аккумуляторов,,,,[],Электропитание
Стабилизаторы напряжения,,,,[],Электропитание
Инверторы,,,,[],Электропитание
Держатели для кабеля,,,,[],Электропитание
Аккумуляторы и батарейки,,,,[],Электропитание
"Сетевые фильтры, удлинители",,,,[],Электропитание
Аксессуары к ноутбукам и ПК,, https://img3.itbox.ua/150x150/prod_img/3/U0377713.jpg ,,[],Ноутбуки и компьютеры
Внешние жесткие диски,,,,[],Аксессуары к ноутбукам и ПК
USB флешки,,,,[],Аксессуары к ноутбукам и ПК
Веб-камеры,,,,[],Аксессуары к ноутбукам и ПК
Переходники,,,,[],Аксессуары к ноутбукам и ПК
Блоки питания для ноутбуков,,,,[],Аксессуары к ноутбукам и ПК
Аккумуляторы для ноутбуков,,,,[],Аксессуары к ноутбукам и ПК
Подставки для ноутбуков,,,,[],Аксессуары к ноутбукам и ПК
Порт-репликаторы,,,,[],Аксессуары к ноутбукам и ПК
DVD-Диски,,,,[],Аксессуары к ноутбукам и ПК
CD-Диски,,,,[],Аксессуары к ноутбукам и ПК
